NMT; anio; mes; dia; tipo; LAEQ; LAS01; LAS10; LAS50; LAS90; LAS99
48;2021;1;2; D; 058.8; 065.0; 060.9; 058.0; 052.4; 044.8
54;2021;1;2; D; 060.6; 066.9; 063.7; 059.4; 050.9; 042.2
55;2021;1;2; D; 053.4; 062.4; 055.9; 050.1; 045.2; 042.1
86;2021;1;2; D; 053.3; 062.4; 057.1; 049.1; 043.0; 040.2
1;2021;1;2; E; 065.6; 071.3; 068.2; 063.9; 058.6; 055.3
2;2021;1;2; E; 068.4; 075.8; 069.7; 067.0; 063.7; 060.8
3;2021;1;2; E; 059.0; 068.9; 061.5; 054.9; 050.3; 046.2
5;2021;1;2; E; 060.9; 067.4; 063.6; 059.2; 054.7; 050.2
6;2021;1;2; E; 068.6; 075.7; 070.7; 065.8; 061.3; 056.8
8;2021;1;2; E; 065.0; 071.6; 067.8; 063.3; 059.4; 055.1
10;2021;1;2; E; 062.7; 071.9; 066.8; 058.8; 053.2; 049.2
11;2021;1;2; E; 067.1; 071.8; 069.5; 065.3; 058.5; 053.0
12;2021;1;2; E; 060.8; 067.1; 062.7; 059.2; 055.3; 051.6
13;2021;1;2; E; 055.4; 063.9; 058.2; 052.6; 047.4; 043.6
14;2021;1;2; E; 063.6; 068.8; 065.2; 062.5; 059.7; 057.4
16;2021;1;2; E; 061.5; 067.1; 064.3; 058.8; 048.5; 042.4
17;2021;1;2; E; 054.6; 062.5; 057.0; 051.8; 047.2; 044.9
18;2021;1;2; E; 054.2; 062.7; 057.4; 050.6; 045.3; 044.0
19;2021;1;2; E; 057.9; 067.2; 061.4; 054.8; 050.1; 047.2
20;2021;1;2; E; 060.8; 068.1; 062.3; 056.5; 050.6; 046.1
24;2021;1;2; E; 044.8; 054.0; 048.0; 041.9; 039.3; 038.3
25;2021;1;2; E; 067.2; 069.8; 068.7; 067.0; 065.0; 063.0
26;2021;1;2; E; 058.5; 067.9; 062.4; 054.6; 051.2; 048.5
27;2021;1;2; E; 054.7; 064.8; 058.3; 049.1; 045.0; 041.7
28;2021;1;2; E; 065.6; 074.0; 069.8; 062.0; 053.4; 046.5
29;2021;1;2; E; 057.3; 066.8; 060.8; 049.0; 040.7; 035.8
30;2021;1;2; E; 055.1; 063.8; 058.6; 052.3; 046.4; 044.2
31;2021;1;2; E; 064.9; 073.8; 069.8; 059.0; 051.7; 044.4
47;2021;1;2; E; 053.5; 065.9; 055.7; 046.2; 042.0; 040.1
48;2021;1;2; E; 059.4; 065.3; 061.4; 058.3; 054.5; 052.0
54;2021;1;2; E; 061.4; 067.5; 063.8; 059.7; 055.0; 049.3
55;2021;1;2; E; 053.3; 063.4; 055.4; 048.7; 044.1; 042.1
86;2021;1;2; E; 053.3; 062.8; 056.6; 047.8; 041.2; 039.1
1;2021;1;2; N; 061.0; 069.8; 064.1; 051.7; 041.0; 038.2
2;2021;1;2; N; 062.9; 070.2; 065.9; 059.9; 052.4; 048.1
3;2021;1;2; N; 053.5; 066.3; 052.0; 041.4; 037.5; 036.3
5;2021;1;2; N; 057.0; 062.3; 055.1; 041.9; 037.3; 036.2
6;2021;1;2; N; 061.9; 070.0; 064.0; 053.0; 041.6; 038.2
8;2021;1;2; N; 058.7; 068.6; 062.6; 052.6; 041.6; 039.3
10;2021;1;2; N; 056.9; 069.0; 059.4; 047.9; 045.4; 045.0
11;2021;1;2; N; 058.1; 069.6; 062.6; 046.8; 037.9; 036.5
12;2021;1;2; N; 056.3; 062.7; 057.3; 049.9; 045.2; 044.1
13;2021;1;2; N; 049.1; 061.2; 051.3; 038.7; 035.5; 034.3
14;2021;1;2; N; 057.5; 065.8; 061.5; 054.1; 044.0; 038.2
16;2021;1;2; N; 054.1; 065.4; 059.0; 039.0; 034.8; 034.0
17;2021;1;2; N; 048.9; 059.1; 049.9; 041.7; 036.2; 034.1
18;2021;1;2; N; 046.8; 057.5; 048.0; 042.9; 042.2; 041.5
19;2021;1;2; N; 050.8; 062.1; 053.6; 042.7; 033.7; 030.0
20;2021;1;2; N; 050.5; 062.3; 052.2; 039.9; 037.4; 037.0
24;2021;1;2; N; 039.5; 046.8; 040.9; 038.4; 037.2; 036.5
25;2021;1;2; N; 060.7; 067.5; 064.8; 058.3; 045.2; 035.9
26;2021;1;2; N; 053.8; 066.0; 055.6; 048.6; 038.7; 033.1
27;2021;1;2; N; 049.8; 062.7; 049.1; 041.2; 034.4; 032.0
28;2021;1;2; N; 057.9; 070.4; 060.7; 042.0; 037.1; 036.0
29;2021;1;2; N; 047.0; 060.6; 047.5; 034.4; 031.9; 031.1
30;2021;1;2; N; 054.5; 063.8; 060.5; 041.4; 037.2; 036.1
31;2021;1;2; N; 050.8; 062.6; 048.7; 041.9; 039.2; 037.9
47;2021;1;2; N; 046.3; 058.3; 044.2; 038.3; 036.1; 035.1
48;2021;1;2; N; 051.6; 060.3; 055.8; 047.0; 039.4; 037.6
54;2021;1;2; N; 050.9; 062.2; 055.3; 040.5; 035.3; 033.3
55;2021;1;2; N; 045.1; 054.9; 046.8; 040.1; 036.7; 036.0
86;2021;1;2; N; 044.9; 056.8; 045.0; 037.9; 036.3; 036.0
1;2021;1;3; T; 063.4; 070.7; 067.9; 059.3; 047.2; 040.4
2;2021;1;3; T; 065.6; 071.8; 068.2; 063.9; 057.7; 050.6
3;2021;1;3; T; 058.0; 066.9; 060.7; 051.8; 041.4; 039.5
5;2021;1;3; T; 058.6; 065.9; 061.9; 055.9; 039.6; 037.2
6;2021;1;3; T; 066.7; 073.6; 069.3; 062.6; 049.0; 039.4
8;2021;1;3; T; 063.2; 070.5; 066.4; 061.1; 048.4; 040.1
10;2021;1;3; T; 062.6; 071.3; 065.2; 056.1; 045.9; 045.1
11;2021;1;3; T; 064.4; 071.9; 068.6; 060.9; 040.3; 037.0
12;2021;1;3; T; 060.7; 068.9; 062.4; 057.2; 046.7; 044.2
13;2021;1;3; T; 053.3; 062.0; 056.9; 049.4; 037.4; 035.6
14;2021;1;3; T; 061.9; 068.3; 064.6; 060.8; 050.6; 041.6
16;2021;1;3; T; 060.5; 068.5; 063.8; 055.1; 036.3; 034.2
17;2021;1;3; T; 054.6; 064.0; 057.1; 049.5; 038.2; 035.3
18;2021;1;3; T; 056.4; 065.8; 057.6; 046.7; 038.7; 038.1
19;2021;1;3; T; 056.3; 065.6; 059.8; 052.3; 038.6; 030.9
20;2021;1;3; T; 058.2; 066.3; 060.6; 054.4; 038.8; 037.2
24;2021;1;3; T; 048.2; 057.1; 052.3; 042.6; 037.7; 036.7
25;2021;1;3; T; 064.7; 068.9; 067.4; 064.8; 053.7; 039.4
26;2021;1;3; T; 058.1; 067.8; 061.8; 054.1; 046.1; 040.4
27;2021;1;3; T; 053.9; 064.8; 057.3; 047.9; 037.8; 033.1
28;2021;1;3; T; 064.8; 074.3; 069.4; 058.6; 037.9; 036.0
29;2021;1;3; T; 055.4; 064.9; 059.9; 047.7; 032.2; 031.1
30;2021;1;3; T; 056.3; 064.7; 060.1; 052.3; 040.2; 037.7
31;2021;1;3; T; 062.3; 072.9; 067.4; 053.7; 039.1; 037.2
47;2021;1;3; T; 052.2; 065.3; 052.7; 045.4; 037.3; 036.1
48;2021;1;3; T; 057.4; 064.2; 060.3; 056.0; 042.7; 036.5
54;2021;1;3; T; 058.1; 065.9; 062.1; 055.8; 037.8; 033.7
55;2021;1;3; T; 051.6; 061.0; 053.5; 046.9; 039.5; 036.7
86;2021;1;3; T; 054.4; 062.6; 055.9; 046.8; 037.9; 036.7
1;2021;1;3; D; 063.8; 070.9; 068.1; 060.4; 052.7; 045.3
2;2021;1;3; D; 065.9; 071.8; 068.1; 064.3; 060.1; 055.5
3;2021;1;3; D; 059.1; 067.0; 061.6; 054.8; 046.0; 042.8
5;2021;1;3; D; 060.3; 067.4; 062.8; 058.1; 050.7; 043.2
6;2021;1;3; D; 067.7; 074.7; 070.0; 063.9; 055.5; 048.2
8;2021;1;3; D; 063.7; 070.8; 066.7; 062.2; 054.0; 045.9
10;2021;1;3; D; 063.8; 071.8; 066.5; 058.4; 051.9; 047.3
11;2021;1;3; D; 065.6; 072.4; 069.2; 063.4; 053.1; 043.2
12;2021;1;3; D; 061.6; 069.7; 063.0; 058.7; 053.3; 048.5
13;2021;1;3; D; 054.3; 062.5; 057.7; 051.5; 044.3; 041.1
14;2021;1;3; D; 063.0; 068.9; 065.1; 062.1; 057.2; 052.1
16;2021;1;3; D; 062.2; 072.2; 064.6; 058.1; 046.0; 039.4
17;2021;1;3; D; 056.4; 065.4; 058.7; 051.9; 045.3; 043.2
18;2021;1;3; D; 058.9; 067.9; 059.6; 051.6; 043.0; 039.0
19;2021;1;3; D; 057.6; 066.0; 060.7; 054.3; 048.6; 045.3
20;2021;1;3; D; 059.3; 066.9; 061.6; 056.7; 048.7; 043.0
24;2021;1;3; D; 050.6; 058.4; 053.8; 048.7; 041.3; 039.4
25;2021;1;3; D; 065.8; 069.3; 067.7; 065.7; 062.1; 057.1
26;2021;1;3; D; 059.5; 068.3; 063.4; 055.4; 051.9; 049.0
