Id_Estacion,Nombre_Estación,URI_Estacion,Fecha,tipo,Hash_Observacion,URI_Observacion,LAEQ,LAS01,LAS10,LAS50,LAS90,LAS99
28,Cuatro Vientos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/cuatro-vientos,1/1/2021,D,6f27cecf937053cafc5f0b11d8b982ef,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/6f27cecf937053cafc5f0b11d8b982ef,065.1,074.3,069.5,059.3,048.1,040.6
29,El Pardo,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/el-pardo,1/1/2021,D,fbd3ef77e347f65e061729e7b47ce8cb,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/fbd3ef77e347f65e061729e7b47ce8cb,057.2,065.5,061.5,052.0,041.3,034.0
30,Campo de las Naciones,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/campo-de-las-naciones,1/1/2021,D,f009858463ff8cf2a3b384c539a821a0,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/f009858463ff8cf2a3b384c539a821a0,056.9,064.5,060.4,054.2,047.7,046.2
31,Sanchinarro,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/sanchinarro,1/1/2021,D,5efd847f1d04c99f2781553c60523de2,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/5efd847f1d04c99f2781553c60523de2,059.3,071.3,061.4,051.6,044.6,040.4
47,Mendez Álvaro,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/mendez-álvaro,1/1/2021,D,5afeee5d4f47e3fbc9829a2e2dce3e8b,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/5afeee5d4f47e3fbc9829a2e2dce3e8b,053.0,063.0,053.0,045.9,041.8,038.6
48,Castellana,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/castellana,1/1/2021,D,52d8ac1a7b265c48fc8148047d7f2906,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/52d8ac1a7b265c48fc8148047d7f2906,057.5,062.9,060.0,056.0,050.3,043.5
54,Ensanche de Vallecas,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/ensanche-de-vallecas,1/1/2021,D,73881a48e31a02273cf1f69d18049823,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/73881a48e31a02273cf1f69d18049823,058.4,066.0,061.2,054.5,043.5,039.7
55,Urb Embajada 2,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/urb-embajada-2,1/1/2021,D,08d18853ed92e6348f7d70a3f473da7a,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/08d18853ed92e6348f7d70a3f473da7a,050.9,060.6,053.7,047.0,041.4,039.2
86,Tres Olivos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/tres-olivos,1/1/2021,D,5120e6980716190ce9aadd1194070ed7,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/5120e6980716190ce9aadd1194070ed7,052.4,061.8,055.9,047.7,040.3,036.5
1,Paseo Recoletos,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/estacion-medida/paseo-recoletos,1/1/2021,E,d0d18aa924c4db89ca303e0340e04bcb,http://datos.linkeddata.es/madrid/recurso/medio-ambiente/contaminacion-acustica/observacion/d0d18aa924c4db89ca303e0340e04bcb,064.4,070.4,068.1,062.4,054.9,051.8
